pageid;category;title;uniquewordcount;doclength;supercategories;docpath
38971551;Category:Owls;Everett's scops owl;30;38;;E:\Datasets\eagles-owls\pages\Everetts_scops_owl
7670974;Category:Owls;Fearful owl;82;124;;E:\Datasets\eagles-owls\pages\Fearful_owl
12426906;Category:Owls;Fraser's eagle-owl;64;83;;E:\Datasets\eagles-owls\pages\Frasers_eagle_owl
12146898;Category:Owls;Golden masked owl;36;53;;E:\Datasets\eagles-owls\pages\Golden_masked_owl
358689;Category:Owls;Great grey owl;278;536;;E:\Datasets\eagles-owls\pages\Great_grey_owl
358093;Category:Owls;Great horned owl;1422;8510;;E:\Datasets\eagles-owls\pages\Great_horned_owl
164069;Category:Owls;Horned owl;165;364;;E:\Datasets\eagles-owls\pages\Horned_owl
4080172;Category:Owls;Indian eagle-owl;253;391;;E:\Datasets\eagles-owls\pages\Indian_eagle_owl
200421;Category:Owls;Little owl;169;257;;E:\Datasets\eagles-owls\pages\Little_owl
324619;Category:Owls;Long-eared owl;207;341;;E:\Datasets\eagles-owls\pages\Long_eared_owl
38980001;Category:Owls;Luzon hawk-owl;111;170;;E:\Datasets\eagles-owls\pages\Luzon_hawk_owl
11391481;Category:Owls;Mantanani scops owl;109;155;;E:\Datasets\eagles-owls\pages\Mantanani_scops_owl
40271380;Category:Owls;Mindanao hawk-owl;37;53;;E:\Datasets\eagles-owls\pages\Mindanao_hawk_owl
40271417;Category:Owls;Mindoro hawk-owl;36;51;;E:\Datasets\eagles-owls\pages\Mindoro_hawk_owl
38971595;Category:Owls;Negros scops owl;31;41;;E:\Datasets\eagles-owls\pages\Negros_scops_owl
7774054;Category:Owls;New Britain boobook;103;132;;E:\Datasets\eagles-owls\pages\New_Britain_boobook
333234;Category:Owls;Northern hawk-owl;402;823;;E:\Datasets\eagles-owls\pages\Northern_hawk_owl
4086462;Category:Owls;Northern spotted owl;257;515;;E:\Datasets\eagles-owls\pages\Northern_spotted_owl
12427468;Category:Owls;Northern white-faced owl;77;103;;E:\Datasets\eagles-owls\pages\Northern_white_faced_owl
32253982;Category:Owls;Oraristrix;25;35;;E:\Datasets\eagles-owls\pages\Oraristrix
6976315;Category:Owls;Ornimegalonyx;132;195;;E:\Datasets\eagles-owls\pages\Ornimegalonyx
19251808;Category:Owls;Palaeoglaux;43;62;;E:\Datasets\eagles-owls\pages\Palaeoglaux
8554142;Category:Owls;Papuan boobook;27;36;;E:\Datasets\eagles-owls\pages\Papuan_boobook
7686356;Category:Owls;Papuan hawk-owl;61;76;;E:\Datasets\eagles-owls\pages\Papuan_hawk_owl
12426875;Category:Owls;Pharaoh eagle-owl;134;172;;E:\Datasets\eagles-owls\pages\Pharaoh_eagle_owl
3606908;Category:Owls;Philippine eagle-owl;108;162;;E:\Datasets\eagles-owls\pages\Philippine_eagle_owl
764569;Category:Owls;Philippine scops owl;32;42;;E:\Datasets\eagles-owls\pages\Philippine_scops_owl
9504546;Category:Owls;Pueo;93;116;;E:\Datasets\eagles-owls\pages\Pueo
1903058;Category:Owls;Pygmy owl;60;179;;E:\Datasets\eagles-owls\pages\Pygmy_owl
38512432;Category:Owls;Rinjani scops owl;78;127;;E:\Datasets\eagles-owls\pages\Rinjani_scops_owl
40271489;Category:Owls;Romblon hawk-owl;36;51;;E:\Datasets\eagles-owls\pages\Romblon_hawk_owl
12427412;Category:Owls;Rufous owl;241;423;;E:\Datasets\eagles-owls\pages\Rufous_owl
11252895;Category:Owls;Rusty-barred owl;94;113;;E:\Datasets\eagles-owls\pages\Rusty_barred_owl
585682;Category:Owls;Scops owl;364;866;;E:\Datasets\eagles-owls\pages\Scops_owl
15138502;Category:Owls;Screech owl;324;663;;E:\Datasets\eagles-owls\pages\Screech_owl
12426911;Category:Owls;Shelley's eagle-owl;170;246;;E:\Datasets\eagles-owls\pages\Shelleys_eagle_owl
324614;Category:Owls;Short-eared owl;303;545;;E:\Datasets\eagles-owls\pages\Short_eared_owl
252110;Category:Owls;Snowy owl;354;593;;E:\Datasets\eagles-owls\pages\Snowy_owl
13733172;Category:Owls;South American great horned owl;68;136;;E:\Datasets\eagles-owls\pages\South_American_great_horned_owl
13341286;Category:Owls;Southern white-faced owl;92;119;;E:\Datasets\eagles-owls\pages\Southern_white_faced_owl
4133013;Category:Owls;Spotted eagle-owl;205;301;;E:\Datasets\eagles-owls\pages\Spotted_eagle_owl
7680152;Category:Owls;Striped owl;113;143;;E:\Datasets\eagles-owls\pages\Striped_owl
4093158;Category:Owls;Strix (genus);117;276;;E:\Datasets\eagles-owls\pages\Strix_genus
25374221;Category:Owls;Tawny owl;548;1060;;E:\Datasets\eagles-owls\pages\Tawny_owl
63034;Category:Owls;True owl;199;391;;E:\Datasets\eagles-owls\pages\True_owl
3034219;Category:Owls;Tyto;131;363;;E:\Datasets\eagles-owls\pages\Tyto
4047265;Category:Owls;Verreaux's eagle-owl;344;559;;E:\Datasets\eagles-owls\pages\Verreauxs_eagle_owl
11349546;Category:Owls;White-fronted scops owl;49;60;;E:\Datasets\eagles-owls\pages\White_fronted_scops_owl
